,wRaR,RaR
1,0.21375869126608257,0.21946112290806133
2,0.2323462251992552,0.2602045057861863
3,0.24281521523683705,0.26867018632379897
4,0.24473673547905486,0.2700831649998047
5,0.24338097895906774,0.2656760038383263
6,0.2461042320529175,0.2741396053452007
7,0.24939737322265135,0.29077440011828454
8,0.2739505713736824,0.30619889806290584
9,0.2694053902565093,0.30428989575850135
10,0.27530085798534354,0.3122737198139122
11,0.28028128676276337,0.31288870392275725
12,0.2915478617778849,0.3074207876730105
13,0.2998257808788073,0.32115934107597904
14,0.3017372100495247,0.32294033429340147
15,0.3009736471389592,0.34653387702049243
16,0.29202679319955377,0.3492459053963026
17,0.2896716301178683,0.3326510821610094
18,0.29963571481286827,0.33206385449889386
19,0.305824272601185,0.32316719059229415
20,0.2978939065279201,0.3270234504829264
21,0.3064661539855754,0.3280771905259808
22,0.30227469076200214,0.32648361718333585
23,0.2869380455088076,0.31868193218576046
24,0.2889903332995584,0.3299820139839535
25,0.28309141653792497,0.3388260192977232
26,0.28181886406122597,0.34540910533447344
27,0.28408859769555406,0.3484075850969406
28,0.2820752506275561,0.33761331636217445
29,0.27950533635971553,0.33825982828762974
30,0.2781191213070415,0.3374361195501207
31,0.2816848397815637,0.340489334473491
32,0.2756686295423916,0.33878458938237105
33,0.28285440636424236,0.3292547712141803
34,0.2900770334302425,0.3294307711153507
35,0.30292043255104784,0.335039282299235
36,0.30261757780503656,0.3281736322186206
37,0.29850239751483043,0.3283989079339528
38,0.3026636246334126,0.3233795008021219
39,0.2926215919423724,0.32274888520626416
40,0.29962569334983774,0.32578757930615565
41,0.29803879142685985,0.32645693220289607
42,0.30754775101982856,0.32866409764903887
43,0.31894800917418453,0.31184520306046776
44,0.3171824132670479,0.31088211143182704
45,0.3182520214944437,0.3079920954859119
46,0.3147887518889678,0.30913329460336453
47,0.31589663269383883,0.3090951148152714
48,0.3204839748059485,0.3120073516508825
49,0.3155447479628997,0.3149274452225001
50,0.3140828377304148,0.3131445773440016
