,RaR,wRaR
1,0.047198360007646295,0.050152858815413134
2,0.05576553655339898,0.0582464053859717
3,0.06214175640191061,0.06557428327698167
4,0.07068102464997915,0.07010608119275075
5,0.07339102743549285,0.07415677160976782
6,0.07666754123570758,0.0784384464658477
7,0.08097745652485627,0.0810690778969054
8,0.08439718317528758,0.08509078327621264
9,0.08605272893692434,0.08806388341065115
10,0.09072525195161735,0.09033003091755398
11,0.09183285590236633,0.0949859877770753
12,0.09593908315566477,0.09647523041451166
13,0.09726961795786941,0.09844215422610478
14,0.09827215127433511,0.10139554066685812
15,0.10159778952828873,0.10238422692709397
16,0.10319764602379893,0.10515070892816361
17,0.10512178896894678,0.10639529917000638
18,0.10759908620703859,0.10834337419993165
19,0.10997194283447283,0.10927073863206127
20,0.11065667641409838,0.11096677079037298
21,0.11354605502159587,0.11165605288263807
22,0.11506046153285628,0.11186359817170119
23,0.11547531287199786,0.11380888570993523
24,0.11726867736616294,0.11599575306195717
25,0.11802113136795252,0.11756254177582706
26,0.1218885878666596,0.11864441494835824
27,0.12297316699796565,0.11992996429422147
28,0.12439534481391493,0.1221615722513626
29,0.1251942489246386,0.12225253545759371
30,0.12881748247632716,0.12333905685224449
31,0.13075489709015342,0.12394280603702013
32,0.13269399066724097,0.12510677398158696
33,0.13173536873758995,0.12597376115841444
34,0.13297081984655584,0.1275896729451774
35,0.13438763098856266,0.1293477550992928
36,0.13552028508193797,0.12860116632782193
37,0.1364553543532125,0.1303074540319878
38,0.13650067267326943,0.13155162990304628
39,0.13775857461223867,0.13349161378533234
40,0.1390006309488562,0.135666956827905
41,0.1408320141662484,0.13658317882025892
42,0.14231668885130383,0.1372963572952143
43,0.1420805189089149,0.13651934705439042
44,0.14239454371093388,0.13734999633109118
45,0.14277167284961817,0.13977534884581003
46,0.14258482464167105,0.14062618437189325
47,0.1428418478864651,0.14074380108220624
48,0.14357918205855402,0.14206729745906005
49,0.14525828108269187,0.14172749911390686
50,0.14580199545238348,0.1437509583348397
