,RaR,wRaR
1,0.23017075674061052,0.23415570083197754
2,0.25036941444964356,0.25253410542207283
3,0.2748352089164575,0.28385298139329423
4,0.29196382265546866,0.29720328586482286
5,0.3106430933744397,0.3086100493036755
6,0.3311144520175314,0.32876167433453624
7,0.3450180445424823,0.3432503081913673
8,0.35272298453288975,0.3556749489865082
9,0.3599223696232054,0.3617809273817923
10,0.3716094080688021,0.370414595021978
11,0.3772809742416018,0.3742118309107899
12,0.38385426489670005,0.38837625045382473
13,0.3915326688112879,0.3943908459362599
14,0.39559514253471206,0.3986781588128411
15,0.4059543672086587,0.4080126756362268
16,0.4072711489803469,0.4154785434278958
17,0.4136701856876643,0.4160482090528118
18,0.4190228195142378,0.41503649682196436
19,0.42978910298428297,0.41867521288041276
20,0.43123079702858247,0.42924479100822116
21,0.43783241030112974,0.43330791950697584
22,0.4399397385153706,0.43457035641809166
23,0.4478187368362905,0.4390037768235624
24,0.45002549081481547,0.44312388560173527
25,0.4523673883874396,0.4455120298570684
26,0.45903217462259016,0.4528330522208467
27,0.46168975752730856,0.45583568798293495
28,0.46256612890761134,0.4585139038859287
29,0.460261416410974,0.4664158732720539
30,0.456238992522125,0.4656730211913464
