,RaR,wRaR
1,0.386123802026163,0.35542386904454254
2,0.40042735581155675,0.3922537601845788
3,0.4157509700269809,0.40080053387579095
4,0.4241238408549274,0.4052742408453064
5,0.4286374565967249,0.40896249328628753
6,0.4364838611354404,0.41585736980994736
7,0.439663974571762,0.41915837573189113
8,0.4434307437914399,0.42368438375137085
9,0.4451620169104046,0.42634352574446605
10,0.4505868191442584,0.42757119610629735
11,0.45695453528030816,0.43602527198303537
12,0.46116668590435356,0.4371353702751211
13,0.466842615348372,0.4388287678395265
14,0.46355437921520426,0.4411551376205881
15,0.46766003003840756,0.4414223966250976
16,0.4742534644536037,0.4494167586969803
17,0.4750534657305341,0.45047234203044006
18,0.4781451012986547,0.4527608905687755
19,0.482125109303652,0.4533903720390525
20,0.48426730064117074,0.45722980259838675
21,0.4864491411738638,0.4563113396751951
22,0.48523537441351483,0.45788184923923314
23,0.4897022093998936,0.46244993778827437
24,0.49257949148953484,0.46341104041839143
25,0.49271573096959254,0.46551605224107834
26,0.4938654358242728,0.4677299470354777
27,0.4945312126073379,0.4703838993022333
28,0.49397821626262467,0.4728323915571607
29,0.49322827062498387,0.4748026742745178
30,0.4964797581191453,0.47598504269368913
31,0.49862729430012226,0.4753819330551707
32,0.49821168114085,0.4774848132823089
33,0.4998331314934962,0.48138578642824026
34,0.5003473181292167,0.47965843906881894
35,0.503894626354673,0.48027872877180044
36,0.5027257761643482,0.48155552743204455
37,0.5037547204142425,0.48316979348538586
38,0.5040633175562801,0.4832085234982676
39,0.5048891646068167,0.48451915039964905
40,0.507115108255727,0.4842320863746613
41,0.5079315300082284,0.4824253653025122
42,0.5102364138278568,0.4830028560416709
43,0.5116442876308562,0.48550021966051904
44,0.515670547952636,0.4861599088225671
45,0.5163600758464792,0.48701470225315246
46,0.5153991736615009,0.4869206678768747
47,0.5169498201923526,0.489585358707175
48,0.5168173931917565,0.4910705171224758
49,0.5170656659355728,0.49219939141756475
50,0.5182812382825208,0.49166012517939156
