,wRaR,RaR
1,0.279418007433521,0.3088936661910011
2,0.43295113707168714,0.5812865322150466
3,0.6205400005060343,0.5341041379923537
4,0.6484779004297413,0.5560936426217103
5,0.5279897232792697,0.5726670749561968
6,0.557532320788786,0.5734636240756187
7,0.6973447846040663,0.5810155187890423
8,0.6981305964410964,0.6603956663729275
9,0.7057594708735415,0.6630585019258421
10,0.8170433202952402,0.6879237488543044
11,0.8170433202952402,0.6879237488543044
12,0.8170433202952402,0.6879188091367153
13,0.8193255062264254,0.6886200660458396
14,0.8190874764171318,0.8121368767829757
15,0.8191523987670489,0.812365221765273
16,0.8771669138422925,0.844085754470889
17,0.8771669138422925,0.844085754470889
18,0.8771669138422925,0.844085754470889
19,0.8771669138422925,0.844085754470889
20,0.8771669138422925,0.844085754470889
21,0.8771669138422925,0.844085754470889
22,0.8771669138422925,0.8440650721951521
23,0.8771669138422925,0.8440650721951521
24,0.8771669138422925,0.9009718572542148
25,0.8771669138422925,0.9009718572542148
26,0.8771669138422925,0.9009718572542148
27,0.8771669138422925,0.9009718572542148
28,0.8771669138422925,0.9009718572542148
29,0.8771669138422925,0.9009718572542148
30,0.8771669138422925,0.9009718572542148
31,0.8771669138422925,0.9009718572542148
32,0.8771669138422925,0.9009718572542148
33,0.8771669138422925,0.9009718572542148
34,0.8771669138422925,0.9009718572542148
35,0.9381017401569928,0.914566345492234
36,0.9381017401569928,0.914566345492234
37,0.9381017401569928,0.914566345492234
38,0.9381017401569928,0.914566345492234
39,0.9381017401569928,0.914566345492234
40,0.9381017401569928,0.914566345492234
41,0.9381017401569928,0.914566345492234
42,0.9381017401569928,0.914566345492234
43,0.9381017401569928,0.914566345492234
44,0.9381017401569928,0.914566345492234
45,0.9381017401569928,0.914566345492234
46,0.9390787351916184,0.914566345492234
47,0.9390787351916184,0.914566345492234
48,0.9390787351916184,0.914566345492234
49,0.9562650885042073,0.914566345492234
50,0.9562650885042073,0.914566345492234
